code,link_sec,date,doc_title,link_eng,link_es
 PR-4670 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4670,19/1/15,Guatemala. Propuesta de préstamo para el “Programa de Desarrollo de la Infraestructura Vial”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11027,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10830
 PR-4669 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4669,19/1/09,Brasil. Propuesta de préstamo individual para el “Proyecto de Modernización de la Gestión Fiscal del Estado de Espírito Santo – PROFISCO II-ES”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11026,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10829
 PR-4668 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4668,19/1/09,Brasil. Propuesta de préstamo para el “Programa de Fortalecimiento del Modelo de Atención en la Red de Salud de Paraíba”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11023,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10827
 PR-4667 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4667,18/12/12,Suriname. Propuesta de “Préstamo Contingente para Emergencias por Desastres Naturales”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11020,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10825
 PR-4666 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4666,18/12/11,Argentina. Propuesta de “Préstamo Contingente para Emergencias por Desastres Naturales”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11019,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10824
 PR-4665 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4665,18/12/11,Brasil. Propuesta de préstamo para el “Programa de Recalificación Urbana de la Región Oeste de Aracaju – Construyendo para el Futuro”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11018,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10823
 PR-4664 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4664,18/11/30,Bolivia. Propuesta de préstamo para el “Programa de Apoyo a la Preinversión para el Desarrollo II”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11015,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10820
 PR-4663 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4663,18/11/30,Perú. Propuesta de préstamo para el “Programa de Creación de Redes Integradas de Salud”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11014,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10819
 PR-4662 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4662,18/11/30,Perú. Propuesta de préstamo para el proyecto “Mejoramiento de los Servicios de Recaudación Tributaria y Aduanera a Través de la Transformación Digital”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11012,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10817
 PR-4661 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4661,18/11/30,"Perú. Propuesta de préstamo para el “Proyecto de Mejoramiento de los Servicios de Control Gubernamental para un Control Efectivo, Preventivo y Facilitador de la Gestión Pública”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11013,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10818
